Source,Target,SLabel,TLabel,Sclass,Tclass
2,0,Losing Bin Laden,780 Years for Revenge,c,n
2,1,Losing Bin Laden,Bush vs. the Beltway,c,c
3,2,The Man Who Warned America,Losing Bin Laden,c,c
5,2,A National Party No More,Losing Bin Laden,c,c
6,2,Bush Country,Losing Bin Laden,c,c
6,5,Bush Country,A National Party No More,c,c
7,2,Dereliction of Duty,Losing Bin Laden,c,c
7,5,Dereliction of Duty,A National Party No More,c,c
8,2,Legacy,Losing Bin Laden,c,c
8,5,Legacy,A National Party No More,c,c
9,2,Off with Their Heads,Losing Bin Laden,c,c
9,4,Off with Their Heads,Why America Slept,c,n
9,5,Off with Their Heads,A National Party No More,c,c
9,6,Off with Their Heads,Bush Country,c,c
9,7,Off with Their Heads,Dereliction of Duty,c,c
9,8,Off with Their Heads,Legacy,c,c
10,2,Persecution,Losing Bin Laden,c,c
10,5,Persecution,A National Party No More,c,c
10,9,Persecution,Off with Their Heads,c,c
11,2,Rumsfeld's War,Losing Bin Laden,c,c
11,5,Rumsfeld's War,A National Party No More,c,c
11,9,Rumsfeld's War,Off with Their Heads,c,c
12,2,Breakdown,Losing Bin Laden,c,c
12,9,Breakdown,Off with Their Heads,c,c
13,2,Betrayal,Losing Bin Laden,c,c
14,2,Shut Up and Sing,Losing Bin Laden,c,c
14,9,Shut Up and Sing,Off with Their Heads,c,c
15,2,Meant To Be,Losing Bin Laden,n,c
15,9,Meant To Be,Off with Their Heads,n,c
16,2,The Right Man,Losing Bin Laden,c,c
17,2,Ten Minutes from Normal,Losing Bin Laden,c,c
17,5,Ten Minutes from Normal,A National Party No More,c,c
18,2,Hillary's Scheme,Losing Bin Laden,c,c
18,5,Hillary's Scheme,A National Party No More,c,c
19,2,The French Betrayal of America,Losing Bin Laden,c,c
19,5,The French Betrayal of America,A National Party No More,c,c
20,2,Tales from the Left Coast,Losing Bin Laden,c,c
20,5,Tales from the Left Coast,A National Party No More,c,c
20,9,Tales from the Left Coast,Off with Their Heads,c,c
21,2,Hating America,Losing Bin Laden,c,c
21,5,Hating America,A National Party No More,c,c
21,9,Hating America,Off with Their Heads,c,c
22,2,The Third Terrorist,Losing Bin Laden,c,c
23,2,Endgame,Losing Bin Laden,c,c
23,5,Endgame,A National Party No More,c,c
24,2,Spin Sisters,Losing Bin Laden,c,c
