Source,Target,SLabel,TLabel,Sclass,Tclass
1,0,Bush vs. the Beltway,1000 Years for Revenge,c,n
2,0,Charlie Wilson's War,1000 Years for Revenge,c,n
3,0,Losing Bin Laden,1000 Years for Revenge,c,n
3,1,Losing Bin Laden,Bush vs. the Beltway,c,c
5,0,The Man Who Warned America,1000 Years for Revenge,c,n
5,1,The Man Who Warned America,Bush vs. the Beltway,c,c
5,2,The Man Who Warned America,Charlie Wilson's War,c,c
5,3,The Man Who Warned America,Losing Bin Laden,c,c
5,4,The Man Who Warned America,Sleeping With the Devil,c,n
8,3,A National Party No More,Losing Bin Laden,c,c
9,3,Bush Country,Losing Bin Laden,c,c
9,8,Bush Country,A National Party No More,c,c
10,3,Dereliction of Duty,Losing Bin Laden,c,c
10,6,Dereliction of Duty,Why America Slept,c,n
10,8,Dereliction of Duty,A National Party No More,c,c
11,3,Legacy,Losing Bin Laden,c,c
11,8,Legacy,A National Party No More,c,c
11,9,Legacy,Bush Country,c,c
11,10,Legacy,Dereliction of Duty,c,c
12,3,Off with Their Heads,Losing Bin Laden,c,c
12,6,Off with Their Heads,Why America Slept,c,n
12,8,Off with Their Heads,A National Party No More,c,c
12,9,Off with Their Heads,Bush Country,c,c
12,10,Off with Their Heads,Dereliction of Duty,c,c
12,11,Off with Their Heads,Legacy,c,c
13,3,Persecution,Losing Bin Laden,c,c
13,8,Persecution,A National Party No More,c,c
13,11,Persecution,Legacy,c,c
13,12,Persecution,Off with Their Heads,c,c
14,3,Rumsfeld's War,Losing Bin Laden,c,c
14,7,Rumsfeld's War,Ghost Wars,c,n
14,8,Rumsfeld's War,A National Party No More,c,c
14,9,Rumsfeld's War,Bush Country,c,c
14,11,Rumsfeld's War,Legacy,c,c
14,12,Rumsfeld's War,Off with Their Heads,c,c
15,3,Breakdown,Losing Bin Laden,c,c
15,10,Breakdown,Dereliction of Duty,c,c
15,12,Breakdown,Off with Their Heads,c,c
16,3,Betrayal,Losing Bin Laden,c,c
16,10,Betrayal,Dereliction of Duty,c,c
16,15,Betrayal,Breakdown,c,c
17,3,Shut Up and Sing,Losing Bin Laden,c,c
17,11,Shut Up and Sing,Legacy,c,c
17,12,Shut Up and Sing,Off with Their Heads,c,c
17,13,Shut Up and Sing,Persecution,c,c
19,3,The Right Man,Losing Bin Laden,c,c
19,10,The Right Man,Dereliction of Duty,c,c
20,3,Ten Minutes from Normal,Losing Bin Laden,c,c
20,8,Ten Minutes from Normal,A National Party No More,c,c
20,9,Ten Minutes from Normal,Bush Country,c,c
20,11,Ten Minutes from Normal,Legacy,c,c
21,3,Hillary's Scheme,Losing Bin Laden,c,c
21,8,Hillary's Scheme,A National Party No More,c,c
21,10,Hillary's Scheme,Dereliction of Duty,c,c
21,11,Hillary's Scheme,Legacy,c,c
22,3,The French Betrayal of America,Losing Bin Laden,c,c
22,6,The French Betrayal of America,Why America Slept,c,n
22,8,The French Betrayal of America,A National Party No More,c,c
22,11,The French Betrayal of America,Legacy,c,c
23,3,Tales from the Left Coast,Losing Bin Laden,c,c
23,8,Tales from the Left Coast,A National Party No More,c,c
23,12,Tales from the Left Coast,Off with Their Heads,c,c
23,21,Tales from the Left Coast,Hillary's Scheme,c,c
24,3,Hating America,Losing Bin Laden,c,c
24,8,Hating America,A National Party No More,c,c
24,9,Hating America,Bush Country,c,c
24,12,Hating America,Off with Their Heads,c,c
24,20,Hating America,Ten Minutes from Normal,c,c
25,3,The Third Terrorist,Losing Bin Laden,c,c
25,6,The Third Terrorist,Why America Slept,c,n
25,14,The Third Terrorist,Rumsfeld's War,c,c
25,22,The Third Terrorist,The French Betrayal of America,c,c
26,3,Endgame,Losing Bin Laden,c,c
26,8,Endgame,A National Party No More,c,c
26,11,Endgame,Legacy,c,c
26,14,Endgame,Rumsfeld's War,c,c
26,24,Endgame,Hating America,c,c
27,3,Spin Sisters,Losing Bin Laden,c,c
27,8,Spin Sisters,A National Party No More,c,c
27,9,Spin Sisters,Bush Country,c,c
27,11,Spin Sisters,Legacy,c,c
27,23,Spin Sisters,Tales from the Left Coast,c,c
29,4,Dangerous Dimplomacy,Sleeping With the Devil,c,n
29,6,Dangerous Dimplomacy,Why America Slept,c,n
29,11,Dangerous Dimplomacy,Legacy,c,c
29,13,Dangerous Dimplomacy,Persecution,c,c
32,8,The Death of Right and Wrong,A National Party No More,c,c
32,12,The Death of Right and Wrong,Off with Their Heads,c,c
32,13,The Death of Right and Wrong,Persecution,c,c
32,23,The Death of Right and Wrong,Tales from the Left Coast,c,c
33,8,Useful Idiots,A National Party No More,c,c
33,10,Useful Idiots,Dereliction of Duty,c,c
33,12,Useful Idiots,Off with Their Heads,c,c
33,23,Useful Idiots,Tales from the Left Coast,c,c
33,32,Useful Idiots,The Death of Right and Wrong,c,c
35,8,Let Freedom Ring,A National Party No More,c,c
35,10,Let Freedom Ring,Dereliction of Duty,c,c
35,34,Let Freedom Ring,The O'Reilly Factor,c,c
36,12,Those Who Trespass,Off with Their Heads,c,c
36,34,Those Who Trespass,The O'Reilly Factor,c,c
36,35,Those Who Trespass,Let Freedom Ring,c,c
37,8,Bias,A National Party No More,c,c
37,10,Bias,Dereliction of Duty,c,c
37,33,Bias,Useful Idiots,c,c
37,34,Bias,The O'Reilly Factor,c,c
37,35,Bias,Let Freedom Ring,c,c
38,10,Slander,Dereliction of Duty,c,c
38,12,Slander,Off with Their Heads,c,c
38,33,Slander,Useful Idiots,c,c
38,34,Slander,The O'Reilly Factor,c,c
38,35,Slander,Let Freedom Ring,c,c
38,37,Slander,Bias,c,c
39,10,The Savage Nation,Dereliction of Duty,c,c
39,12,The Savage Nation,Off with Their Heads,c,c
39,33,The Savage Nation,Useful Idiots,c,c
39,34,The Savage Nation,The O'Reilly Factor,c,c
39,35,The Savage Nation,Let Freedom Ring,c,c
39,38,The Savage Nation,Slander,c,c
40,8,Deliver Us from Evil,A National Party No More,c,c
40,12,Deliver Us from Evil,Off with Their Heads,c,c
40,13,Deliver Us from Evil,Persecution,c,c
40,20,Deliver Us from Evil,Ten Minutes from Normal,c,c
40,22,Deliver Us from Evil,The French Betrayal of America,c,c
40,24,Deliver Us from Evil,Hating America,c,c
40,25,Deliver Us from Evil,The Third Terrorist,c,c
40,26,Deliver Us from Evil,Endgame,c,c
40,27,Deliver Us from Evil,Spin Sisters,c,c
40,35,Deliver Us from Evil,Let Freedom Ring,c,c
40,39,Deliver Us from Evil,The Savage Nation,c,c
41,8,Give Me a Break,A National Party No More,c,c
41,9,Give Me a Break,Bush Country,c,c
41,12,Give Me a Break,Off with Their Heads,c,c
41,27,Give Me a Break,Spin Sisters,c,c
41,36,Give Me a Break,Those Who Trespass,c,c
41,40,Give Me a Break,Deliver Us from Evil,c,c
42,8,The Enemy Within,A National Party No More,c,c
42,13,The Enemy Within,Persecution,c,c
42,39,The Enemy Within,The Savage Nation,c,c
42,40,The Enemy Within,Deliver Us from Evil,c,c
43,8,The Real America,A National Party No More,c,c
43,13,The Real America,Persecution,c,c
43,35,The Real America,Let Freedom Ring,c,c
43,42,The Real America,The Enemy Within,c,c
44,8,Who's Looking Out for You?,A National Party No More,c,c
